2025-07-20 00:54:05.547 | INFO     | utils.logging_config:setup_module_logger:113 - [LOGGING] Module logger initialized for backend -> /home/statiksmoke8/Ascend-Institute/GremlinGPT/data/logs/backend/backend_router.log
2025-07-20 00:54:05.547 | INFO     | backend.router:register_routes:21 - [ROUTER] Verifying and backing up API routes...
2025-07-20 00:54:05.548 | INFO     | backend.router:register_routes:38 - [ROUTER] Verified: /api/chat is already registered (likely via blueprint).
2025-07-20 00:54:05.548 | INFO     | backend.router:register_routes:38 - [ROUTER] Verified: /api/memory/graph is already registered (likely via blueprint).
2025-07-20 00:54:05.548 | INFO     | backend.router:register_routes:38 - [ROUTER] Verified: /api/scrape is already registered (likely via blueprint).
2025-07-20 00:54:05.548 | INFO     | backend.router:register_routes:38 - [ROUTER] Verified: /api/agent/tasks is already registered (likely via blueprint).
2025-07-20 00:54:05.548 | INFO     | backend.router:register_routes:38 - [ROUTER] Verified: /api/trading/signals is already registered (likely via blueprint).
2025-07-20 00:54:05.548 | SUCCESS  | backend.router:register_routes:52 - [ROUTER] Route registered as backup: /api/tasks/priority -> set_task_priority
2025-07-20 00:54:05.548 | INFO     | __main__:<module>:62 - [SERVER] Additional routes registered
2025-07-20 00:54:05.549 | INFO     | __main__:run_server_forever:97 - [BACKEND] Starting GremlinGPT backend on 0.0.0.0:8080
2025-07-20 00:54:05.549 | INFO     | __main__:broadcast_status:74 - [BROADCAST] GremlinGPT backend server online at 0.0.0.0:8080
